Questionnaire Code:,"Would you prefer receiving alerts/information/advice(exclusive deals, cashback offers, coupons), if so how?","	Would you like to avail any last minute deals/emergency deals?",        How often do you go to Movies/Sports/Public Events?,        How often do you go to Movies/Sports/Public Events?,How often do you go to Movies/Sports/Public Events?,"Do you prefer having food while in Movies/Sports/Public Events (Concert/Trade Fair)? If yes, what type?","	How much do you mostly spend on a single visit to Movies/Sports/Public Events (concert/trade fair) in Crowns?","	What are the factors considered while staying at a hotel?","	Would you lik to purchase items online, if offered bundle?","	What type of discounts/offers d you look for when you shop online?","	What type of discounts/offers do you look for whe you make MFS transactions?","	What type of discounts/offers do you look for whe you make MFS transactions?","	Do you use internet in your phone?","	What type of internet packages do you use?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","What is your monthly Expenditure in Crowns behind mobile phone? (Voice Call, Internet, SMS, Others)","	Do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What is the avg. amount spent per online shopping?","	% of online shopping Basket: Online shopping as a % of total shopping.",What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,"	Do you think you will decrease/stop online shopping in the next year?","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If your answer is ""no""","If your answer is ""no""","If your answer is ""no""",Do you think you will start using digital financial services next year?,"If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""",What is your preferred MFS to use when shopping online?,"	How would you prefer to get the refund?","	How would you prefer to get the refund?","	How would you prefer to get the refund?","	What is your gender?","	What is your age?",Age Profile,"	What is your profession?","	Which sector are you currently employed in?","	In which industry are you employed?","	What is your marital status?","	Where do you live?",What is your monthly household income?,Econ Profile,"	What type of person do you consider yourself in terms of online shopping?"
250,Sms,"Yes, at a premium price",Once/twice in 6 months,Never,Never,I prefer complementary meal/food service,"1,001-2,000",Vicinity,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,,Yes,Monthly Limited,Facebook,WhatsApp,YouTube,500 - 700,Once/twice in 6 months,Accessories,,,"1,001 - 2,000",Up to 10%,Easy to use mobile app,Longer transaction time-out,Payment gateway integration,No,I am more comfortable visiting physically,I find the technology difficult and it will not be easier in the future,I find the payment complicated and it will not be easier in the future,I purchase online,,,Maybe,Don't have to travel,,,Chime,Bank Account,Cash delivered,,Male,31-40 years,Gen X,Employed,Private - For Profit,Education,Single with no kid,Uttara,"More than 300,000",Affluent,I like to explore new things
251,Website,No,Once/twice in a year,Never,Never,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Complimentary breakfast,"Yes, at a discounted price",Cash discounts,Cashback offer,,Yes,Customized,Facebook,WhatsApp,YouTube,Up to 500,Never,Food,,,500 - 700,Up to 10%,Easy to use mobile app,Longer transaction time-out,Payment gateway integration,Maybe,Poor quality of product/service,Less option to choose from,No bargaining option,Payment is difficult,,,Maybe,Attractive discounts,Can transfer funds between accounts easily,Easy to make payment/Convenient,MaxPay,Bank Account,Cash delivered,Mobile balance top up,Female,21-30 years,Millennials,Employed,Private - For Profit,Media,Single with no kid,Malibag,"Up to 50,000",Aspirant,I find adapting to new technology difficult
252,Email,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in 6 months,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),,Yes,Pay as you go,Imo,Maps,Gaming apps,Up to 500,Once/twice in a year,Cloths,Accessories,,Up to 500,Up to 10%,Easy to use mobile app,Call center facilities,,No,I am more comfortable visiting physically,,,Finds it complicated,,,Maybe,Attractive discounts,,,Chime,Bank Account,Mobile balance top up,,Female,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mirpur,"50,001-100,000",Emerging,I like to explore new things
253,,,,,,,,,,Cash discounts,Gifts (Free tickets/food voucher),,Yes,Monthly Limited,Facebook,WhatsApp,YouTube,Up to 500,Once/twice in 6 months,Accessories,Electronic gadgets,,"1,001 - 2,000",Up to 10%,More privacy assurance,Easy to use mobile app,Chatting services,No,I find the payment complicated and it will not be easier in the future,Poor customer service,Poor quality of product/service,I purchase online,,,Yes,Attractive discounts,Don't have to travel,Can transfer funds between accounts easily,Chime,Bank Account,,,Male,21-30 years,Millennials,Employed,Own Business,Sports,Single with no kid,Tejgaon,"50,001-100,000",Emerging,I use internet mainly for work/business
254,Email,"Yes, but at regular price",Once a month,Once a month,Once/twice in 6 months,I prefer complementary meal/food service,"501-1,000",,"Yes, at regular price",Cash discounts,Cashback offer,,Yes,Monthly Limited,Facebook,WhatsApp,YouTube,500 - 700,Once/twice in a year,Cloths,Accessories,,"701 - 1,000",Up to 10%,Easy to use mobile app,,,No,I am more comfortable visiting physically,,,I purchase online,,,Maybe,Attractive discounts,Easy to make payment/Convenient,Don't have to travel,Chime,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Employed,Private - For Profit,Media,Single with no kid,Dhanmondi,"50,001-100,000",Emerging,I like to explore new things
255,Website,"Yes, but at regular price",Once/twice in 6 months,More than twice a month,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,Up to 500,Discount/Offers,"Yes, at a discounted price",Cash discounts,Coupons,,Yes,Monthly Limited,Facebook,YouTube,,Up to 500,Once/twice in a year,Accessories,,,500 - 700,Up to 10%,Easy to use mobile app,,,No,I am more comfortable visiting physically,,,Over price,,,Maybe,Attractive discounts,Don't have to travel,,Chime,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Unemployed,Not Applicable,Not employed,Single with no kid,Dhanmondi,"50,001-100,000",Emerging,I think online payment system is not secured yet
256,Sms,"Yes, but at regular price",Once/twice in 6 months,Once/twice in 6 months,Once/twice in a year,I prefer having tea/coffee,Up to 500,Discount/Offers,No,Cash discounts,Gifts (Free tickets/food voucher),,At times,Pay as you go,Facebook,YouTube,,Up to 500,Once/twice in a year,Cloths,books,,Up to 500,Up to 10%,Easy to use mobile app,,,No,I find the payment complicated and it will not be easier in the future,Poor customer service,Poor quality of product/service,I purchase online,,,No,Don't have to travel,,,SnapTap,Mobile balance top up,,,Male,21-30 years,Millennials,Employed,Private - For Profit,Media,Single with no kid,DU Area,"Up to 50,000",Aspirant,I use internet mainly for work/business
257,Sms,"Yes, at a discounted price",Once/twice in a year,Once/twice in a year,Never,I prefer having tea/coffee,"501-1,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,,,Yes,Monthly Limited,WhatsApp,Maps,Gaming apps,Up to 500,Once/twice in a year,Accessories,,,Up to 500,Up to 10%,Easy to use mobile app,,,No,I find the payment complicated and it will not be easier in the future,It is not safe to transact online,Over priced,Over price,,,Maybe,Attractive discounts,,,SnapTap,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Uttara,"50,001-100,000",Emerging,I like to explore new things
258,Sms,"Yes, but at regular price",More than twice a month,Once/twice in 6 months,Once/twice in 6 months,I prefer having tea/coffee,Up to 500,Discount/Offers,"Yes, at a discounted price",Cash discounts,,,Yes,Monthly unlimited,Facebook,YouTube,Viber,"701 - 1,000",Once a month,Cloths,Accessories,Electronic gadgets,"701 - 1,000",Up to 10%,Easy to use mobile app,,,No,Poor customer service,Poor quality of product/service,,Payment is difficult,Poor customer service,,Yes,Attractive discounts,,,Chime,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Employed,Public,Doctor,Married with 1 kid,Mohammadpur,"50,001-100,000",Emerging,I like to explore new things
259,Sms,No,Once/twice in 6 months,Once/twice in a year,Once/twice in a year,I prefer complementary meal/food service,"501-1,000",Discount/Offers,No,Cash discounts,,,Yes,Monthly Limited,Facebook,YouTube,Instagram,"701 - 1,000",Once/twice in a year,Accessories,Electronic gadgets,,"701 - 1,000",Up to 10%,Easy to use mobile app,More privacy assurance,Longer transaction time-out,No,It’s not safe to transact online,No option for seat selection,,Description of the product/service is not detailed,Can't tell if the product is genuine,,Yes,Don't have to travel,Efficient customer service,Reliable call center service,Chime,Cash delivered,,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Jatrabari,"50,001-100,000",Emerging,I like to explore new things
260,Phone call,"Yes, but at regular price",Once a month,Once/twice in 6 months,Twice a month,I prefer having some soft drinks with popcorns/French fries,Up to 500,,"Yes, at a discounted price",Gifts (T-shirt/Mug),Coupons,,Yes,Pay as you go,Facebook,WhatsApp,YouTube,Up to 500,Once/twice in a year,Electronic gadgets,,,"More than 3,000",Up to 10%,Easy to use mobile app,Call center facilities,,No,Less option to choose from,,,Less option to choose from,,,Maybe,Attractive discounts,,,PayUp,Concession on the next purchase,,,Male,21-30 years,Millennials,Employed,Public,Govt. Agency,Single with no kid,Tejgaon,"Up to 50,000",Aspirant,I like to explore new things
261,Sms,"Yes, but at regular price",Once/twice in a year,Never,Once/twice in a year,I prefer complementary meal/food service,"1,001-2,000",,"Yes, at a discounted price",Cash discounts,,,Yes,Monthly Limited,Facebook,Viber,Gaming apps,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Longer transaction time-out,Easy to use mobile app,,No,Poor customer service,Poor quality of product/service,Less option to choose from,Cannot trust online transaction,,,Maybe,Can transfer funds between accounts easily,Efficient customer service,Attractive discounts,Chime,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mohammadpur,"100,001-200,000",Established,I find adapting to new technology difficult
262,Website,"Yes, but at regular price",Once/twice in 6 months,Once/twice in 6 months,Once a month,I prefer having tea/coffee,Up to 500,Discount/Offers,"Yes, at a discounted price",Gifts (T-shirt/Mug),Mobile Talk time top up,Cashback offer,Yes,Pay as you go,Facebook,WhatsApp,Maps,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,Chatting services,Facebook based customer services,Maybe,I find the payment complicated and it will not be easier in the future,,,Finds it complicated,Payment is difficult,Poor customer service,No,Can transfer funds between accounts easily,,,SnapTap,Bank Account,Cash delivered,Earning credits for future purchase,Male,21-30 years,Millennials,Self-employed,Private - For Profit,ITES,Single with no kid,Malibag,"50,001-100,000",Emerging,I like to explore new things
263,Sms,"Yes, at a premium price",More than twice a month,Twice a month,Once a month,I prefer complementary meal/food service,"501-1,000",Discount/Offers,"Yes, at regular price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Monthly Limited,Facebook,WhatsApp,Gaming apps,Up to 500,Once/twice in 6 months,Cloths,,,Up to 500,31-50%,Easy to use mobile app,Call center facilities,Chatting services,Yes,I am more comfortable visiting physically,,,Finds it complicated,No option for seat selection,,No,Attractive discounts,Easy to make payment/Convenient,,SnapTap,Bank Account,Mobile balance top up,,Male,21-30 years,Millennials,Employed,Public,Doctor,Single with no kid,Mohammadpur,"Up to 50,000",Aspirant,I like to explore new things
264,Sms,"Yes, at a discounted price",Once/twice in a year,Once/twice in 6 months,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"501-1,000",,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Cashback offer,Yes,Monthly Limited,WhatsApp,Imo,,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,More privacy assurance,Longer transaction time-out,No,Over priced,,,Cannot trust online transaction,No option for seat selection,Can't tell if the product is genuine,Maybe,Attractive discounts,Easy to make payment/Convenient,,MaxPay,Bank Account,Cash delivered,Earning credits for future purchase,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Rampura,"Up to 50,000",Aspirant,I love the touch and feel of the product while shopping
265,Sms,"Yes, at a discounted price",Once/twice in 6 months,Never,Once/twice in a year,I prefer having some light snacks like sandwich,"501-1,000",,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),,Yes,Customized,Uber,,,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,,,No,I am more comfortable visiting physically,,,Cannot trust online transaction,,,Maybe,Attractive discounts,,,PayUp,Bank Account,Cash delivered,Earning credits for future purchase,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Khilgaon,"Up to 50,000",Aspirant,I love the touch and feel of the product while shopping
266,Sms,"Yes, at a premium price",Once a month,More than twice a month,Once/twice in 6 months,I don't,Up to 500,Discount/Offers,No,Commodity carrying facility for free/low cost,,,Yes,Pay as you go,YouTube,,,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,Call center facilities,High Security ,Maybe,I am more comfortable visiting physically,,,Cannot trust online transaction,Poor customer service,Description of the product/service is not detailed,Maybe,Reliable call center service,Attractive discounts,Last minute deals,Chime,Cash delivered,Mobile balance top up,Concession on the next purchase,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mirpur,"Up to 50,000",Aspirant,I like to explore new things
267,Sms,"Yes, but at regular price",Once/twice in a year,Once/twice in a year,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"501-1,000",,"Yes, at a discounted price",Gifts (T-shirt/Mug),Mobile Talk time top up,Internet balance top up,Yes,Monthly unlimited,Facebook,WhatsApp,YouTube,Up to 500,Never,Food,,,500 - 700,Up to 10%,Easy to use mobile app,More privacy assurance,Longer transaction time-out,Maybe,I am more comfortable visiting physically,Poor customer service,Poor quality of product/service,I purchase online,,,Maybe,Can transfer funds between accounts easily,Attractive discounts,Don't have to travel,Chime,Mobile balance top up,Internet balance top up,Concession on the next purchase,Female,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mirpur,"Up to 50,000",Aspirant,I love the touch and feel of the product while shopping
268,Sms,"Yes, at a premium price",Once a month,Once/twice in 6 months,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",,"Yes, at a discounted price",Additional luggage carrying facility for free,Coupons,,Yes,Monthly unlimited,Facebook,WhatsApp,Viber,"701 - 1,000",Once/twice in 6 months,Cloths,Accessories,,"1,001 - 2,000",Up to 10%,Easy to use mobile app,Higher Transaction Limit,,No,Less option to choose from,,,Poor customer service,Description of the product/service is not detailed,,Yes,Attractive discounts,Can transfer funds between accounts easily,Easy to make payment/Convenient,Chime,Bank Account,Concession on the next purchase,Earning credits for future purchase,Female,21-30 years,Millennials,Homemaker,Not Applicable,Not employed,Married with no kids,Mirpur,"50,001-100,000",Emerging,I like to explore new things
269,Phone call,No,Never,Never,Never,I don't,I don't go to movies/sports/events,Discount/Offers,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Monthly Limited,Facebook,Imo,Viber,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,More privacy assurance,,Maybe,I am more comfortable visiting physically,,,Poor customer service,,,Maybe,Don't have to travel,Easy to make payment/Convenient,Efficient customer service,Chime,Bank Account,Cash delivered,Mobile balance top up,Male,31-40 years,Gen X,Self-employed,Own Business,Manufacturing,Married with no kids,Rampura,"Up to 50,000",Aspirant,I use internet mainly for work/business
270,Phone call,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in a year,Never,I prefer complementary meal/food service,"501-1,000",,"Yes, at a discounted price",Cash discounts,Cashback offer,,Yes,Monthly Limited,Facebook,YouTube,,Up to 500,Once/twice in a year,Cloths,Commodity,,500 - 700,11-30%,Easy to use mobile app,More privacy assurance,Chatting services,Yes,I am more comfortable visiting physically,Poor customer service,Poor quality of product/service,Finds it complicated,Poor customer service,Less option to choose from,Yes,Attractive discounts,Don't have to travel,Easy to make payment/Convenient,Chime,Cash delivered,Internet balance top up,Earning credits for future purchase,Female,31-40 years,Gen X,Homemaker,Not Applicable,Not employed,Married with 1 kid,Banani,"50,001-100,000",Emerging,I use internet mainly for socialization
271,Sms,"Yes, at a discounted price",Once/twice in a year,Never,Never,I prefer having some light snacks like sandwich,"501-1,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),,Yes,Pay as you go,Facebook,WhatsApp,Imo,"701 - 1,000",Once/twice in 6 months,Accessories,,,"1,001 - 2,000",Up to 10%,Easy to use mobile app,Longer transaction time-out,,Maybe,I find the payment complicated and it will not be easier in the future,Poor customer service,Poor quality of product/service,Finds it complicated,Payment is difficult,,Maybe,Attractive discounts,Don't have to travel,Easy to make payment/Convenient,Chime,Bank Account,Cash delivered,,Female,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Malibag,"100,001-200,000",Established,I use internet mainly for socialization
